KILLER,VICTIM,UHC,METHOD,TIME,COMMENT,,
,Albertc5555,1,creeper,,,,DAWSON'S USERNAME??
,MultiGirl007,1,lava,,,,ninjaturtle USERNAME?
belundun,meddi3,1,,,,,
mikecherry,belundun,1,,,,,
,Meyeravi,1,lava,,,,
,mrdagger17,1,skeleton,,,,
,dalvin_cook,1,suffocated,,,,
,Inspyur,1,fell,,,,
,YungSpesh,1,lava,,,,
1ottsco,mikecherry,1,,,,,
XmasGoose,Dunkersplatt,1,shot,,,,
,IntenseYogurt,1,fell,,,,
,XmasGoose,1,fell,,,,
Dunkersplatt,belundun,2,slew,,,,
Dunkersplatt,Shananalovesdem,2,slew,,,,
,DemonicFish,2,skeleton,,,,
1ottsco,Inspyur,2,shot,,,,
,Meyeravi,2,drowned,,,,
1ottsco,YungSpesh,2,shot,,,,
1ottsco,Dunkersplatt,2,shot,,,,
,Albertc5555,2,lava,,,,
1ottsco,IntenseYogurt,2,,,,,
,XmasGoose,2,fell,,,,
1ottsco,mrdagger17,2,,,,,
damonsterwolf,Jaxos,2,,,,,
Nova_MC,damonsterwolf,2,,,,,
Nova_MC,1ottsco,2,,,,,
,Inspyur,3,creeper,,,,
Dunkersplatt,mikecherry,3,slew,,,,
Dunkersplatt,meddi3,3,slew,,,,
Dunkersplatt,Albertc5555,3,slew,,,,
1ottsco,ColombiaSilva,3,,,,,
1ottsco,Dunkersplatt,3,slew,,,,
1ottsco,YungSpesh,3,,,,,
XmasGoose,belundun,3,,,,,
damonsterwolf,kanighits,3,friendlyfire,,,,
,mrdagger17,3,fell,,,,
1ottsco,damonsterwolf,3,,,,,
1ottsco,XmasGoose,3,,,,,
,Shananalovesdem,3,lava,,,,
1ottsco,DemonicFish,3,,,,,
1ottsco,IntenseYogurt,3,,,,,
,DemonicFish,4,burned,,,,
,Meyeravi,4,lava,,,,
,1ottsco,4,suffocated,,,,
,IntenseYogurt,4,suffocated,,,,
Dunkersplatt,Inspyur,4,shot,,,,
Dunkersplatt,YungSpesh,4,shot,,,,
Shananalovesdem,Wolfzx99,4,shot,,,,
,belundun,4,mobs,,,,
,Shananalovesdem,4,fell,,,,
Dunkersplatt,XmasGoose,4,shot,,,,
Dunkersplatt,Overtray,4,shot,,,,
,seanm105,5,zombie,,,,
Inspyur,1ottsco,5,slew,,,,
belundun,Dunkersplatt,5,shot,,,,
belundun,Meyeravi,5,shot,,,,
Inspyur,belundun,5,shot,,,,
xcatieladyx,mrdagger17,5,slew,,,,
XmasGoose,Inspyur,5,shot,,,,
XmasGoose,xcatieladyx,5,shot,,,,
,Meyeravi,6,creeper,,,,
,Wolfzx99,6,lava,,,,
,seanm105,6,skeleton,,,,
,Shananalovesdem,6,creeper,,,,
1ottsco,Dunkersplatt,6,,,,,
1ottsco,Meyeravi,6,,,,,
1ottsco,YungSpesh,6,,,,,
XmasGoose,Inspyur,6,,,,,
1ottsco,mrdagger17,6,,,,,
XmasGoose,IntenseYogurt,6,,,,,
1ottsco,_pau1,6,,,,,
XmasGoose,belundun,6,,,,,
,YungSpesh,7,fell,,,,
,DemonicFish,7,burned,,,,
,Inspyur,7,blaze,,,,
1ottsco,Meyeravi,7,slew,,,,
,Dunkersplatt,7,lava,,,,
,Wolfzx99,7,skeleton,,,,
XmasGoose,Shananalovesdem,7,shot,,,,
XmasGoose,seanm105,7,shot,,,,
IntenseYogurt,belundun,7,shot,,,,
belundun,YungSpesh,8,slew,,,,
Inspyur,belundun,8,slew,,,,
Shananalovesdem,Inspyur,8,slew,,,,
DemonicFish,Shananalovesdem,8,slew,,,,
,Meyeravi,8,burned,,,,
,Overtray,8,burned,,,,
,DemonicFish,8,burned,,,,
XmasGoose,Dunkersplatt,8,slew,,,,
kanighits,xcatieladyx,8,slew,,,,
XmasGoose,seanm105,8,shot,,,,
kanighits,IntenseYogurt,8,shot,,,,
mrdagger17,kanighits,9,,,,,
,Wolfzx99,9,lava,,,,
IntenseYogurt,mikecherry,9,,,,,
,mrdagger17,9,burned,,,,
1ottsco,meddi3,9,,,,,
,Inspyur,9,burned,,,,
,RARich,9,lava,,,,
IntenseYogurt,belundun,9,,,,,
IntenseYogurt,Shananalovesdem,9,,,,,
1ottsco,Swampyl,9,,,,,
hi_im_kten,seanm105,9,,,,,
IntenseYogurt,hi_im_kten,9,shot,,,,
1ottsco,Dunkersplatt,9,,,,,
XmasGoose,1ottsco,9,,,,,
IntenseYogurt,XmasGoose,9,,,,,
IntenseYogurt,MultiGirl007,9,,,,,
IntenseYogurt,xcatieladyx,9,,,,,
Meyeravi,IntenseYogurt,9,,,,,
,YungSpesh,9,fell,,,,
,_pau1,9,burned,,,,
Jaxos,dstout123,9,friendlyfire,,,,
Jaxos,ninjaturtle,9,shot,,,,
,Meyeravi,9,lava,,,,
Jaxos,DezBFrag,9,shot,,,,
Jaxos,Inspyur,9,slew,,,,
,Dunkersplatt,10,lava,,,,
,YungSpesh,10,cavespider,,,,
,Inspyur,10,cavespider,,,,
belundun,RARich,10,slew,,,,
XmasGoose,belundun,10,,,,,
MultiGirl007,Jaxos,10,,,,,
1ottsco,MultiGirl007,10,,,,,
XmasGoose,1ottsco,10,,,,,
,DemonicFish,10,fell,,,,
XmasGoose,Shananalovesdem,10,,,,,
,_pau1,10,skeleton,,,,
mikecherry,mrdagger17,10,shot,,,,
meddi3,seanm105,10,shot,,,,
XmasGoose,Meyeravi,10,shot,,,,
,Wolfzx99,10,fell,,,,
XmasGoose,xcatieladyx,10,slew,,,,
,Swampyl,10,lava,,,,
,meddi3,10,fell,,,,
meddi3,IntenseYogurt,10,slew,,caused him to fall,,
,Albertc5555,10,fell,,,,
XmasGoose,mikecherry,10,slew,,,,
meddi3,damonsterwolf,11,slew,0:49:06,,,
IntenseYogurt,YungSpesh,11,slew,0:49:18,,,
meddi3,MultiGirl007,11,slew,0:49:23,(Steve),,
mikecherry,kanighits,11,slew,0:50:16,,,
XmasGoose,Wolfzx99,11,slew,0:55:54,,,
Swampyl,XmasGoose,11,slew,0:55:59,,,
,seanm105,11,zombie,1:09:07,,,
,1ottsco,11,blaze,1:48:10,,,
IntenseYogurt,Swampyl,11,shot,1:52:33,,,
Dunkersplatt,IntenseYogurt,11,shot,2:08:54,,,
,meddi3,11,lava,2:09:30,,,
Dunkersplatt,mikecherry,11,slew,2:09:33,Stole Jody's kill,,
DemonicFish,Albertc5555,11,slew,2:10:12,,,
IntenseYogurt,kanighits,12,slew,1:00:44,,,
IntenseYogurt,XmasGoose,12,slew,1:00:55,,,
,seanm105,12,fell,1:07:27,,,
IntenseYogurt,damonsterwolf,12,slew,1:22:08,,,
,belundun,12,blaze,2:13:21,,,
IntenseYogurt,Swampyl,12,slew,2:32:24,,,
DemonicFish,Wolfzx99,12,slew,2:32:28,,,
IntenseYogurt,Shananalovesdem,12,slew,2:32:40,she fell to death escaping him,,
IntenseYogurt,DemonicFish,12,shot,2:33:07,,,
YungSpesh,Dunkersplatt,12,friendlyfire,2:42:31,,,
YungSpesh,meddi3,12,shot,2:42:38,,,
YungSpesh,mikecherry,12,shot,2:42:43,,,
IntenseYogurt,xcatieladyx,12,shot,2:44:19,,,
YungSpesh,IntenseYogurt,12,shot,2:44:21,,,
