ID,DATE,MOTD,STARTTIME,WINNER,SEED,VERSION,
1,4/4/20,,,Uconn,,,scott bqiao jody trevor
2,4/11/20,,,NONE,,,Chad ? But it doesn't count
3,4/18/20,,,Uconn,,,scott jody qiao
4,4/25/20,,,Uconn,,,bdan ody qiao
5,5/2/20,,,UDel1,,,nate maarten frazz
6,5/9/20,,,NateScott,,,nate scott ONLY
7,5/16/20,,,NateScott,,,scot nate chad frazz
8,5/17/20,,,UDel1,,,nate tom
9,5/23/20,The Birthday UHC,,Medium,,,joe paul rich dawson
10,5/30/20,,,UDel1,motherhood,,nate steve joe rich
11,6/8/20,,0:46:07,Uconn,,,bdan brandon jody frazz
12,6/15/20,Last Call For Skybases,0:54:14,BC,Brendan,,bdan ziyu catie
13,6/21/20,UHC The Thirteenth,0:49:22,NateScott,seveenten,,scott nate josh
14,6/27/20,,23:43:45,Cherry,beethoven,,
15,7/5/20,America Edition,0:21:58,BC,union,,
16,7/11/20,Seven Eleven,1:24:35,UDel1,,,
17,7/12/20,Two UHC's in one weekend,0:12:31,BC,desert17,,
18,7/19/20,Colder Weather,0:53:19,Uconn,,,
19,7/26/20,The Harvest Moon is Upon Us,0:49:40,Meatloaf,parkour,,
20,8/2/20,The Golden UHC,0:46:27,Meatloaf,2.08E+18,,
21,8/9/20,Of purchasing age,0:44:26,BC,plplpl,,
22,8/16/20,Fingers Crossed,0:34:29,BC,ouch,,
23,8/23/20,Seafarers,0:54:32,BC,6,,
24,8/30/20,Running Out of Creative Names,0:41:21,BC,fourteenyo,,
25,9/6/20,A Five-peat?,0:34:37,Evil,25,,
26,9/13/20,Because I Said So,0:55:46,Beast,shootahs,,
27,9/20/20,Burning Throats,0:50:35,BC,LOL8PE,1.16.2,
28,9/27/20,No Name,0:46:11,Cherry,dothis,1.16.2,
29,10/4/20,The Sky Is Falling,0:27:10,Evil,steenerz,1.16.2,
30,10/11/20,The Big Three Oh,0:50:56,Beast,picnic,1.16.2,
31,10/18/20,Tokyo Drift,0:46:37,Beast,-8.54E+18,1.16.2,seed might not be negative
32,10/25/20,Dawn of the Dinos,0:41:48,BC,cl,1.16.2,
33,11/1/20,Spooky Edition,1:38:51,BC,faireys,1.16.3,
34,11/8/20,UHC On Stilts,1:39:19,Beast,thanksm,1.16.3,
35,11/18/20,Live From Boston,1:45:25,UConn,comebackto,1.16.3,
36,11/22/20,Still Live From Boston,1:43:53,Beast,hotelcali,1.16.3,
37,11/29/20,Live From Connecticut,1:55:47,Evil,themilkmanandthepaperboy,1.16.3,
38,12/6/20,Barnacle Brawl,1:48:02,BC,Bad,1.16.3,
39,12/13/20,Barnyard Blitz,1:46:23,BC,godaddy.com/,1.16.3,
40,12/20/20,Pineapple Edition,1:42:21,Beast,decide,1.16.3,
41,12/27/20,Christmas Edition,1:42:38,Beast,"""001234""",1.16.3,without the quotes
42,1/3/21,2021 Edition,1:42:11,Beast,bellybutton,1.16.3,
43,1/10/21,The New Regime,0:56:58,Beast,dadadada,1.16.3,
44,1/17/21,The Old Regime,0:47:09,Beast,billyjean,1.16.3,
45,1/24/21,The Golden Hour,1:33:49,UDel1,"""1770797087473630000""",1.16.3,without the quotes
46,1/31/21,Let's Get Real,1:41:31,Love,conventiona,1.16.3,
47,2/14/21,Last Legs,1:53:37,Beast,gumn,1.16.3,
48,2/21/21,Sun's Getting Real Low,1:42:17,Cherry,lovegame,1.16.3,
